danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,main_artist,playlist
0.845,0.798,5,-10.268,0,0.0709,0.182,0.000317,0.105,0.791,125.496,audio_features,3Ym0zu7yPRhzBjRG450M6A,spotify:track:3Ym0zu7yPRhzBjRG450M6A,https://api.spotify.com/v1/tracks/3Ym0zu7yPRhzBjRG450M6A,https://api.spotify.com/v1/audio-analysis/3Ym0zu7yPRhzBjRG450M6A,343773,4,15,Asha Bhosle,Hindi
0.626,0.69,5,-5.851,1,0.0595,0.329,0.000209,0.134,0.566,79.995,audio_features,2bTOQ3zfHVDEBX9ffy3JzR,spotify:track:2bTOQ3zfHVDEBX9ffy3JzR,https://api.spotify.com/v1/tracks/2bTOQ3zfHVDEBX9ffy3JzR,https://api.spotify.com/v1/audio-analysis/2bTOQ3zfHVDEBX9ffy3JzR,427547,4,41,Sandesh Shandilya,Hindi
0.59,0.875,5,-5.294,1,0.171,0.45,1.18e-05,0.164,0.736,96.915,audio_features,1uzkWkIaWaxzHJgJ4Fy5rO,spotify:track:1uzkWkIaWaxzHJgJ4Fy5rO,https://api.spotify.com/v1/tracks/1uzkWkIaWaxzHJgJ4Fy5rO,https://api.spotify.com/v1/audio-analysis/1uzkWkIaWaxzHJgJ4Fy5rO,408133,4,49,Jatin-Lalit,Hindi
0.532,0.529,0,-8.402,1,0.0352,0.334,0.000144,0.078,0.295,81.989,audio_features,251PNRmJU9KcUnFQAB5t6I,spotify:track:251PNRmJU9KcUnFQAB5t6I,https://api.spotify.com/v1/tracks/251PNRmJU9KcUnFQAB5t6I,https://api.spotify.com/v1/audio-analysis/251PNRmJU9KcUnFQAB5t6I,321240,4,51,Shankar-Ehsaan-Loy,Hindi
0.854,0.449,10,-10.762,1,0.0939,0.0796,0.015,0.111,0.533,93.998,audio_features,4pVnxSz312uhq2hM3b8CAO,spotify:track:4pVnxSz312uhq2hM3b8CAO,https://api.spotify.com/v1/tracks/4pVnxSz312uhq2hM3b8CAO,https://api.spotify.com/v1/audio-analysis/4pVnxSz312uhq2hM3b8CAO,182533,4,30,Abhishek Bachchan,Hindi
0.593,0.89,11,-5.466,1,0.0549,0.0486,0.0611,0.383,0.747,206.001,audio_features,38VzBZpQcPMbcRd1dGA5t3,spotify:track:38VzBZpQcPMbcRd1dGA5t3,https://api.spotify.com/v1/tracks/38VzBZpQcPMbcRd1dGA5t3,https://api.spotify.com/v1/audio-analysis/38VzBZpQcPMbcRd1dGA5t3,248867,4,15,Mehmood,Hindi
0.744,0.7,2,-7.663,1,0.0376,0.278,0.000155,0.068,0.866,144.043,audio_features,4FeczSomVWVyU4FW7xDeAI,spotify:track:4FeczSomVWVyU4FW7xDeAI,https://api.spotify.com/v1/tracks/4FeczSomVWVyU4FW7xDeAI,https://api.spotify.com/v1/audio-analysis/4FeczSomVWVyU4FW7xDeAI,309640,4,47,A.R. Rahman,Hindi
0.657,0.357,7,-16.269,1,0.0606,0.198,3.05e-06,0.0621,0.507,87.961,audio_features,5JWpN1YtsTFVzv5cjTAvNr,spotify:track:5JWpN1YtsTFVzv5cjTAvNr,https://api.spotify.com/v1/tracks/5JWpN1YtsTFVzv5cjTAvNr,https://api.spotify.com/v1/audio-analysis/5JWpN1YtsTFVzv5cjTAvNr,460498,4,39,A.R. Rahman,Hindi
0.729,0.505,7,-9.236,1,0.323,0.229,0,0.0975,0.723,148.435,audio_features,0wnLMEOQlyW3Es1ag0HMVV,spotify:track:0wnLMEOQlyW3Es1ag0HMVV,https://api.spotify.com/v1/tracks/0wnLMEOQlyW3Es1ag0HMVV,https://api.spotify.com/v1/audio-analysis/0wnLMEOQlyW3Es1ag0HMVV,334707,3,38,A.R. Rahman,Hindi
0.862,0.673,7,-6.686,1,0.0688,0.33,0.00856,0.0961,0.841,105.003,audio_features,0MjL7YQ02qH7nxfayhbmfp,spotify:track:0MjL7YQ02qH7nxfayhbmfp,https://api.spotify.com/v1/tracks/0MjL7YQ02qH7nxfayhbmfp,https://api.spotify.com/v1/audio-analysis/0MjL7YQ02qH7nxfayhbmfp,260027,4,27,Amit Trivedi,Hindi
